5년 동안 교도소에 갇히게 된다면 입소 전날 무엇을 하고 싶은가?,,,,,5년\n교도소\n활동
"앞으로 일어날 일을 상상할 때 최선의 경우를 떠올리는 편인가, 최악의 경우를 떠올리는 편인가?",,,,,미래\n상상
당장 기분을 좋게 하는 비법이 있는가?,,,,,당장\n기분\n방법
초등학교 2학년생에게 해주고 싶은 조언은?,,,,,조언\n사람
최근에 들은 충격적인 소식은?,,,,,소식\n최근\n충격
논리보다 직감에 의존하는 편인가?,,,,,선호\n논리\n직감
사람들의 무리한 부탁을 잘 거절하는 편인가?,,,,,부탁\n관계\n거절
좋은 소식과 나쁜 소식 중에 무엇을 먼저 듣고 싶은가?,,,,,소식\n선호
나만의 기분 전환 방법은?,,,,,방법\n기분\n활동
광적으로 좋아하는 분야가 있다면?,,,,,분야\n선호
나의 가장 큰 꿈은 무엇인가?,,,,,꿈\n미래
나는 새로운 ___________을(를) 원한다.,,,,,욕구\n새로움
오늘 하루를 한 단어로 표현한다면?,,,,,오늘\n하루
현존하는 유명인 중에서 술 한잔하고 싶은 사람은?,,,,,술\n유명인
내가 믿고 의지하는 사람은?,,,,,의지\n관계\n사람
최근에 한 말실수가 있다면?,,,,,말실수\n최근
누군가의 행동을 더 이상 참기 어려울 때 사실대로 말할 수 있는가?,,,,,솔직\n관계\n사실
첫눈이 내리면 가장 먼저 하고 싶은 일은?,,,,,첫눈\n욕구\n활동
앞으로도 쭉 변하지 않았으면 하는 것은?,,,,,미래\n불변\n욕구
가장 듣기 좋은 칭찬은?,,,,,칭찬
나를 잘 나타내주는 노래는?,,,,,노래\n음악
나는 내년에 어떤 모습일까?,,,,,미래
오늘 나를 놀라게 한 것은?,,,,,오늘\n충격
올초에 계획한 일 중에서 이루지 못한 것이 있다면?,,,,,올해\n계획\n활동
몇 살까지 살고 싶은가?,,,,,미래\n나이\n욕구
집 안에서 뒹굴거리기 vs. 밖에 나가서 놀기?,,,,,선호\n활동
내 삶에서 가장 결별하고 싶은 것은?,,,,,삶\n결별
사람들에게 가장 즐겨하는 질문은 무엇인가?,,,,,사람\n질문
절대로 버릴 수 없는 물건을 하나만 적어보자.,,,,,절대\n물건\n버림
하루에 한 시간이 늘어난다면 뭘 할까?,,,,,하루\n시간\n활동
